jobId,jobTitle,jobClassification,jobCompany
28974,EDI Developer,software engineer,Socius Innovative Global Brains Pvt. Ltd.
28973,Laravel Developer,backend,Socius Innovative Global Brains Pvt. Ltd.
28972,Pre-Sales - Executive,marketing,Socius Innovative Global Brains Pvt. Ltd.
28971,Graphic Designer/ Animator,graphic design,SRS Global Technologies Pvt Ltd
28970,Database Administrator,database,ARS Traffic & Transport Technology India Private Limited
28969,SaaS Sales Consultant,marketing,iBoson Innovations Pvt. Ltd
28968,Lead Generation Representative,marketing,iBoson Innovations Pvt. Ltd
28967,Inbound Sales Development Representative,marketing,iBoson Innovations Pvt. Ltd
28966,Salesforce Lead,business administation,Reflections Info Systems Pvt Ltd
28965,iOS Developer,mobile,iBoson Innovations Pvt. Ltd
28964,Delivery Head,business administation,Reflections Info Systems Pvt Ltd
28963,Graphics Programmer,graphic engine,iBoson Innovations Pvt. Ltd
28962,JS Developers - Babylon.js,frontend,iBoson Innovations Pvt. Ltd
28961,Business Analyst,business analyst,Reflections Info Systems Pvt Ltd
28960,Senior .Net Developer,backend,Reflections Info Systems Pvt Ltd
28959,Digital Marketing Executive,marketing,SequoiaAT India Private Limited
28958,Process Executive,business administation,Xilligence
28957,WebGL Developer,graphic engine,bMuse India Technologies Pvt Ltd
28956,Motion Graphic Designer,graphic design,bMuse India Technologies Pvt Ltd
28955,Dot Net /Full Stack Developer,fullstack,Xilligence
28953,Full Stack Sr. Developer/Lead (Angular + Node Js),fullstack,Experion Technologies (I) Pvt Ltd
28952,React Native Developer,mobile,Yarab Technologies Private Limited
28951,Graphic Designer,graphic design,SREE ANAND TRAVEL & TECHNOLOGIES PVT. LTD.
28950,Full Stack Developer (PHP),fullstack,Muble Solutions Private Limited
28949,Jr. Business Development Executive,marketing,Softnotions Technologies Pvt Ltd
28948,SEO/SMO Analyst,data entry / seo,VERISTICS NETWORKS PVT.LTD
28947,UI/UX Designer,ui/ux,Rewards MysearchGlobal Pvt Ltd
28946,C# Automation,software engineer,Xpetize Technology Solutions Private Limited
28945,Content Management Analyst,data entry / seo,Alokin Software Pvt. Ltd
28944,UI Developer,ui/ux,Yarab Technologies Private Limited
28943,Senior Backend Developer - Java,backend,FoundingMinds Software Pvt Ltd
28942,Process Associate - Non Voice (WFH),marketing,Zoondia Software Private  Limited.
28941,Research Analyst,marketing,TECH MAHINDRA LIMITED
28940,HR Executive,business administation,Muble Solutions Private Limited
28939,Java Developer,backend,Xpetize Technology Solutions Private Limited
28938,Video Editor Trainee,graphic design,Neonicz Software Solutions Pvt Ltd
28937,Software Trainer Trainee,teaching,Neonicz Software Solutions Pvt Ltd
28936,Senior Java Developer,backend,Doubtbox Edutainment Pvt Ltd
28935,Digital Marketing Trainee,marketing,Neonicz Software Solutions Pvt Ltd
28934,Sales/Marketing - Trainee,marketing,Neonicz Software Solutions Pvt Ltd
28933,Java Trainee,backend,Neonicz Software Solutions Pvt Ltd
28932,Front-end Developer,frontend,Webential Digilab Pvt Ltd.
28931,Android Developer,mobile,THREE SEAS INFOLOGICS PVT LTD
28930,Data Validation/ Data Entry Operators,data entry / seo,Speridian Technologies Pvt Ltd
28929,Graphic designer,graphic design,Azinova Technologies Pvt Ltd
28928,Java Server Developer,backend,NeedStreet Web Technologies Pvt Ltd
28927,"Operation Assistant -Freshers (Technopark,Kollam)",business administation,SOPETEL TECHNOLOGIES Pvt Ltd
28926,Team Leader Sales,business administation,Yarab Technologies Private Limited
28925,Laravel Developer,backend,Creace Technologies Pvt Ltd
28924,Android Developer,mobile,Creace Technologies Pvt Ltd
28923,iOS Developer,mobile,Creace Technologies Pvt Ltd
28922,System Administrator - L1,system administration,Phykon Solutions Private Limited
28921,Jr. Business Analyst,business analyst,Softnotions Technologies Pvt Ltd
28920,Software Test Engineer - QA Manual Testing,testing,Azinova Technologies Pvt Ltd
28919,Software Engineer,software engineer,ADDANT SYSTEMS PRIVATE LIMITED
28918,Contract AWS Developer/Administrator,devops,Aten India Software Solutions Pvt. Ltd.
28917,iOS Developer,mobile,Simplogics Solutions Pvt Ltd
28916,Curriculum Developer,teaching,SOPETEL TECHNOLOGIES Pvt Ltd
28915,Game and Toy designer,graphic engine,SOPETEL TECHNOLOGIES Pvt Ltd
28914,Materials engineer,other,SOPETEL TECHNOLOGIES Pvt Ltd
28913,Child Psychologist,other,SOPETEL TECHNOLOGIES Pvt Ltd
28912,REACT JS Developer,mobile,Lean Transitions Solutions
28911,SAP SuccessFactors Consultant,business administation,APPLEXUS TECHNOLOGIES PVT LTD
28910,SAP CBTA Automation Engineer,software engineer,APPLEXUS TECHNOLOGIES PVT LTD
28909,System/Validation/Tester Engineer,testing,Xpetize Technology Solutions Private Limited
28908,Software Engineer,software engineer,Xpetize Technology Solutions Private Limited
28906,Senior developer,software engineer,ARTEMAS TECHNOLOGIES PRIVATE LIMITED
28905,.Net Developer,backend,Autram Infotech Pvt Ltd.
28904,Software Engineer - Testing,testing,POLUS SOFTWARE PVT LTD
28854,SAP- Presales/Solution Architect,architect,Fingent Technology Solutions Private Limited
